Metric,Mean,SD,Median,Q25,Q75,CI_Lower,CI_Upper,Model,
AUC,0.935097582,0.045147117,0.943177561,0.913492625,0.97252613,0.858444958,0.984743853,BRT_no,0.935 (0.858-0.985)
Sensitivity,0.888029284,0.080434649,0.913968898,0.843908965,0.933454861,0.752137249,0.990655855,BRT_no,0.888 (0.752-0.991)
Specificity,0.864529911,0.089814017,0.891420302,0.820145548,0.920895863,0.698498715,0.964703655,BRT_no,0.865 (0.698-0.965)
PPV,0.839619163,0.133901127,0.863324059,0.797192005,0.942843368,0.589141556,0.975655171,BRT_no,0.840 (0.589-0.976)
NPV,0.909268382,0.040595735,0.898983379,0.892129388,0.906757794,0.86205531,0.986911133,BRT_no,0.909 (0.862-0.987)
Cutoff,0.3621609,0.187562827,0.355233249,0.286356421,0.424079795,0.081790588,0.690235623,BRT_no,0.362 (0.082-0.690)
Youden,0.752559195,0.142736992,0.750024694,0.693732391,0.85413336,0.528828353,0.948522478,BRT_no,0.753 (0.529-0.949)
Accuracy,0.878632758,0.075033729,0.879808444,0.861929334,0.926360287,0.745180992,0.977429315,BRT_no,0.879 (0.745-0.977)
F1_Score,0.860454952,0.105770777,0.894537066,0.802767395,0.931589219,0.683226977,0.980668495,BRT_no,0.860 (0.683-0.981)
Kappa,0.746666314,0.156113377,0.75231896,0.694461833,0.851229131,0.481051242,0.95281923,BRT_no,0.747 (0.481-0.953)
AUC,0.933807799,0.046483409,0.942199233,0.913771449,0.972263028,0.853107443,0.984468922,BRT_w,0.934 (0.853-0.984)
Sensitivity,0.880969357,0.086391397,0.889760483,0.847027853,0.938639826,0.738228509,0.991260926,BRT_w,0.881 (0.738-0.991)
Specificity,0.867494156,0.10199044,0.902579141,0.816170579,0.943672954,0.677272508,0.968008107,BRT_w,0.867 (0.677-0.968)
PPV,0.844561845,0.138120739,0.855350019,0.835319148,0.945639582,0.575253878,0.980724672,BRT_w,0.845 (0.575-0.981)
NPV,0.903940534,0.04855442,0.894953007,0.889850513,0.913874268,0.834440959,0.987583849,BRT_w,0.904 (0.834-0.988)
Cutoff,0.38860165,0.20672651,0.413763598,0.235788833,0.514161725,0.088709056,0.706714631,BRT_w,0.389 (0.089-0.707)
Youden,0.748463513,0.147038587,0.746921137,0.693865746,0.852811212,0.509112451,0.948550461,BRT_w,0.748 (0.509-0.949)
Accuracy,0.876684122,0.078022478,0.880487784,0.862751388,0.923339197,0.731644799,0.97747484,BRT_w,0.877 (0.732-0.977)
F1_Score,0.858471561,0.106842145,0.892854185,0.809460578,0.927265059,0.672722821,0.980737455,BRT_w,0.858 (0.673-0.981)
Kappa,0.743077664,0.159833615,0.751636867,0.707360373,0.845895245,0.45953816,0.952904062,BRT_w,0.743 (0.460-0.953)
AUC,0,0,0,0,0,0,0,rf_no,
Sensitivity,0,0,0,0,0,0,0,rf_no,
Specificity,0,0,0,0,0,0,0,rf_no,
PPV,0,0,0,0,0,0,0,rf_no,
NPV,0,0,0,0,0,0,0,rf_no,
Cutoff,0,0,0,0,0,0,0,rf_no,
Youden,0,0,0,0,0,0,0,rf_no,
Accuracy,0,0,0,0,0,0,0,rf_no,
F1_Score,0,0,0,0,0,0,0,rf_no,
Kappa,0,0,0,0,0,0,0,rf_no,
AUC,0,0,0,0,0,0,0,rf_w,
Sensitivity,0,0,0,0,0,0,0,rf_w,
Specificity,0,0,0,0,0,0,0,rf_w,
PPV,0,0,0,0,0,0,0,rf_w,
NPV,0,0,0,0,0,0,0,rf_w,
Cutoff,0,0,0,0,0,0,0,rf_w,
Youden,0,0,0,0,0,0,0,rf_w,
Accuracy,0,0,0,0,0,0,0,rf_w,
F1_Score,0,0,0,0,0,0,0,rf_w,
Kappa,0,0,0,0,0,0,0,rf_w,
