Metric,Mean,SD,Median,Q25,Q75,CI_Lower,CI_Upper,Model,,,,,,,,,,,
AUC,0.947342784,0.035815709,0.955345455,0.919750925,0.975245017,0.889172477,0.98826278,Non-weighted,0.947 (0.889-0.988),,,0.947 (0.889-0.988),,,,,,,
Sensitivity,0.89034593,0.085666873,0.914342216,0.834761643,0.942338728,0.751707427,0.992533534,Non-weighted,0.890 (0.752-0.993),,,0.890 (0.752-0.993),,,,,,,
Specificity,0.900241025,0.059483757,0.918084752,0.848054033,0.937393791,0.814758149,0.972091097,Non-weighted,0.900 (0.815-0.972),,,0.900 (0.815-0.972),,0.947 (0.889-0.988),0.890 (0.752-0.993),0.900 (0.815-0.972),0.875 (0.690-0.982),0.917 (0.867-0.989),0.901 (0.803-0.978)
PPV,0.874596276,0.103747043,0.903328618,0.843221087,0.950883762,0.690333333,0.981699494,Non-weighted,0.875 (0.690-0.982),,,0.875 (0.690-0.982),,,,,,,
NPV,0.917453129,0.039908618,0.911208736,0.896566499,0.916503489,0.86722886,0.988547834,Non-weighted,0.917 (0.867-0.989),,,0.917 (0.867-0.989),,,,,,,
Cutoff,0.412082267,0.158525734,0.401588921,0.361554987,0.425085703,0.162978434,0.695219544,Non-weighted,,,,,,,,,,,
Youden,0.790586954,0.123042446,0.798378567,0.713513641,0.883672846,0.58704292,0.950771744,Non-weighted,,,,,,,,,,,
Accuracy,0.901330168,0.057504127,0.903196501,0.878531092,0.940986071,0.803179044,0.97825328,Non-weighted,0.901 (0.803-0.978),,,0.901 (0.803-0.978),,,,,,,
F1_Score,0.881437439,0.091130881,0.907736414,0.82299009,0.948440992,0.724763983,0.981476701,Non-weighted,,,,,,,,,,,
Kappa,0.78974275,0.127757343,0.800640603,0.726143202,0.880842055,0.57217712,0.954523637,Non-weighted,,,,,,,,,,,
AUC,0.947729436,0.035518863,0.955872529,0.920565484,0.97524873,0.889673668,0.988263927,Weighted,0.948 (0.890-0.988),,,0.948 (0.890-0.988),,,,,,,
Sensitivity,0.891479774,0.07675019,0.914126998,0.843888866,0.938177953,0.772171146,0.990631882,Weighted,0.891 (0.772-0.991),,,0.891 (0.772-0.991),,,,,,,
Specificity,0.900306067,0.060362691,0.916073184,0.850652859,0.938870059,0.805329415,0.971715641,Weighted,0.900 (0.805-0.972),,,0.900 (0.805-0.972),,,,,,,
PPV,0.873201241,0.10994039,0.910735691,0.83231479,0.951162553,0.674729665,0.981278715,Weighted,0.873 (0.675-0.981),,,0.873 (0.675-0.981),,0.948 (0.890-0.988),0.891 (0.772-0.991),0.900 (0.805-0.972),0.873 (0.675-0.981),0.915 (0.873-0.986),0.900 (0.798-0.978)
NPV,0.915430265,0.038113066,0.910375301,0.889950566,0.916896855,0.87302702,0.986378165,Weighted,0.915 (0.873-0.986),,,0.915 (0.873-0.986),,,,,,,
Cutoff,0.421527266,0.155369802,0.418580888,0.345747527,0.467787384,0.188347035,0.700587984,Weighted,,,,,,,,,,,
Youden,0.791785842,0.122291536,0.801903201,0.71173074,0.883800713,0.589781683,0.95074006,Weighted,,,,,,,,,,,
Accuracy,0.900279548,0.059317555,0.90528993,0.87419875,0.941871236,0.79816677,0.97811404,Weighted,0.900 (0.798-0.978),,,0.900 (0.798-0.978),,,,,,,
F1_Score,0.881148831,0.091092807,0.905280448,0.820876101,0.949307984,0.725449982,0.981259563,Weighted,,,,,,,,,,,
Kappa,0.788717549,0.129856103,0.804837487,0.718597809,0.881397814,0.56727623,0.954276425,Weighted,,,,,,,,,,,
