"Fold","Model","AUC","Sensitivity","Specificity","PPV","NPV","Cutoff","Youden","Accuracy","F1_Score","Kappa"
1,"Non-weighted",0.906513894070919,0.823567082933077,0.83669579030977,0.714444444444444,0.905293915434857,0.425879409171076,0.660262873242847,0.832342323210873,0.765134612524171,0.635796370919847
2,"Non-weighted",0.97598223633712,0.985145345114611,0.909945853519521,0.924084084084084,0.98215933558905,0.39454534646323,0.895091198634133,0.94955149389627,0.953638279409942,0.898436805739776
3,"Non-weighted",0.990171578739889,0.994678492239468,0.972258571054698,0.984491587417703,0.990402559317515,0.734349867724868,0.966937063294166,0.98658605705649,0.989558823529412,0.970806910969752
4,"Non-weighted",0.981688026780018,0.941830958422799,0.939701492537313,0.959816988263378,0.913522925130586,0.422704585537919,0.881532450960113,0.940989023958456,0.950738916256158,0.877182635465538
5,"Non-weighted",0.959905680740296,0.868345323741007,0.93047068538398,0.895843641761504,0.911208151382824,0.309015432098765,0.798816009124987,0.905134474327628,0.881880175353142,0.802651031429787
6,"Non-weighted",0.884137872022033,0.745454545454545,0.820330969267139,0.683333333333333,0.861042183622829,0.350771164021164,0.565785514721685,0.794712286158631,0.71304347826087,0.553707014407404
7,"Non-weighted",0.913896868716829,0.77324513046674,0.926223651304037,0.835915772745332,0.893657359531196,0.393906455954702,0.699468781770777,0.876187041711744,0.80336006109202,0.713209057492537
8,"Non-weighted",0.973033357444789,0.912872067809974,0.971514242878561,0.97208228379513,0.911209321012455,0.56043731950404,0.884386310688535,0.940977212071443,0.941547219680797,0.882061860966206
9,"Non-weighted",0.950785228562224,0.915812364088226,0.882128760038111,0.91081359423275,0.888538524814916,0.408632495590829,0.797941124126337,0.901258527405316,0.913306139309134,0.79863017501617
10,"Non-weighted",0.937313091989314,0.942507985002083,0.813140233133169,0.865137029955386,0.917497010761259,0.12058059576419,0.755648218135252,0.885563243411335,0.902166688820949,0.764945636791118
1,"Weighted",0.907955452092993,0.837015690041627,0.828752978554408,0.708017334777898,0.911107230178135,0.419327120410454,0.665768668596035,0.831492885963049,0.767131327953045,0.636548724355196
2,"Weighted",0.97602021744499,0.976693558714304,0.917355371900826,0.929328621908127,0.972507552870091,0.483916446208113,0.89404893061513,0.948607270519997,0.952422577422577,0.896624250933089
3,"Weighted",0.990187691508378,0.994678492239468,0.972520282648521,0.984635645302897,0.990405117270789,0.746926807760141,0.967198774887989,0.986680521443416,0.989631590558129,0.971014153336924
4,"Weighted",0.981637624875816,0.945344524692563,0.937313432835821,0.958440530377993,0.91812865497076,0.417834656084656,0.882657957528384,0.942169243479287,0.95184748427673,0.879477917720543
5,"Weighted",0.961143197745685,0.864508393285372,0.939388934764657,0.907603222557905,0.909643371181833,0.330604938271605,0.803897328050029,0.908850855745721,0.885531810366003,0.809883079400552
6,"Weighted",0.884366053495289,0.769191919191919,0.79852902547938,0.665065502183406,0.869316557048899,0.336875220458554,0.567720944671299,0.788491446345257,0.713348946135831,0.547164860961675
7,"Weighted",0.914906968533283,0.782432929070195,0.914790996784566,0.816960859554873,0.89637668475407,0.37236444516924,0.697223925854761,0.871498978242577,0.799324197484513,0.704879203885674
8,"Weighted",0.972934268693988,0.915237532032328,0.968944099378882,0.969715956558062,0.913201453371013,0.540976478768145,0.88418163141121,0.940977212071443,0.94168948382517,0.882037780003519
9,"Weighted",0.950601859938535,0.913016464740603,0.886892609228256,0.91386815920398,0.885807504078304,0.41940019593696,0.799909073968859,0.901729004940014,0.913442113442113,0.799791895121635
10,"Weighted",0.937541029933683,0.916678239133454,0.838572942423172,0.878376580172987,0.887808526551982,0.147046353807223,0.755251181556626,0.882298064215191,0.897118782277793,0.759753626157368
