Iteration,Accuracy
1,0.907
2,0.9063
3,0.9059
4,0.9073
5,0.9065
6,0.9074
7,0.9059
8,0.9064
9,0.9071
10,0.9065
11,0.9059
12,0.9065
13,0.9052
14,0.9068
15,0.9069
16,0.9055
17,0.9061
18,0.9072
19,0.9054
20,0.907
21,0.908
22,0.9061
23,0.9061
24,0.9068
25,0.9058
26,0.9071
27,0.908
28,0.9062
29,0.9063
30,0.9062
31,0.9067
32,0.9059
33,0.9052
34,0.907
35,0.9065
36,0.9074
37,0.9067
38,0.9055
39,0.9072
40,0.9061
41,0.9065
42,0.9075
43,0.9069
44,0.9065
45,0.9072
46,0.9072
47,0.9073
48,0.9072
49,0.9069
50,0.9064
