Iteration,AUC
1,0.9546
2,0.9548
3,0.9544
4,0.9555
5,0.9549
6,0.9553
7,0.9537
8,0.9546
9,0.955
10,0.9545
11,0.9542
12,0.9548
13,0.9527
14,0.9551
15,0.9549
16,0.9541
17,0.9548
18,0.9549
19,0.9545
20,0.9549
21,0.9556
22,0.9548
23,0.9547
24,0.955
25,0.9546
26,0.9546
27,0.9552
28,0.9544
29,0.9545
30,0.9544
31,0.9547
32,0.9542
33,0.9542
34,0.9556
35,0.9549
36,0.9543
37,0.9551
38,0.9536
39,0.9549
40,0.9543
41,0.9545
42,0.9556
43,0.9546
44,0.9546
45,0.9553
46,0.9552
47,0.9549
48,0.9547
49,0.9548
50,0.9549
